"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","Genus","Species","AphiaID","Depth [m]","ReefZone","Category"
129,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,8,NA,NA,NA,1,"Reef edge",NA
129,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,8,NA,NA,NA,1,"Reef edge",NA
130,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,18,NA,NA,NA,1,"Reef edge",NA
131,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,8,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
132,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
133,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
134,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,19,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
135,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,12,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
136,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,26,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
137,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,27,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
138,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,30,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
139,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,30,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
140,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,15,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
141,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,"Pocillopora","verrucosa",206954,1,"Reef edge","CB"
